-28.521	1.6456	0.51932	-0.66354	0.5205	0.34329	-0.077731	-0.76944	-0.018901	0.28903	0.14638	-0.031805	0.41482	2
-25.415	-0.017552	1.1263	0.69327	0.36215	-0.55964	0.1573	0.51449	0.18389	-0.22173	-0.070088	0.0665	0.28628	5
-17.802	1.4555	-0.37115	0.22692	0.25154	0.4623	-0.097671	-0.83814	0.085718	-0.1388	-0.35397	-0.27625	-0.30592	4
-19.788	-3.0686	0.016084	0.77783	-0.51326	0.97161	0.62873	0.0025693	0.065962	-0.095282	-0.46612	-0.16934	0.62831	5
-21.718	-0.044598	1.0695	1.3675	-0.0017211	-0.50707	-0.30117	-0.52103	0.18299	0.043775	0.14736	-0.58874	0.21603	8
-18.349	-1.4375	1.884	-0.26959	1.0857	-0.3577	0.31367	-0.052026	-0.19749	-0.19852	-0.13461	-0.03847	0.77428	8
-19.047	2.9161	-0.22341	1.1089	-0.45668	-0.1806	1.3439	-0.010835	-0.65313	-0.68196	-0.093419	0.067595	0.023111	1
-23.92	1.2726	-0.34136	1.6623	-0.59606	-0.11863	-0.35712	0.21673	0.60406	-0.10884	-0.092385	0.4623	0.36984	3
-25.55	1.6316	1.3473	0.52207	0.19232	-0.086851	0.06272	-0.27872	0.17867	-0.25088	-0.38037	0.065921	0.15604	4
-17.31	1.6007	-0.44959	-0.32212	0.50208	-0.13806	-1.4863	-1.4515	-0.12372	0.10924	0.33336	-0.35897	-0.51365	8
-19.878	0.10981	0.15695	1.8152	-0.51553	1.3519	-1.4044	-0.7998	0.016216	-0.25565	-0.39713	-0.10485	0.43375	3
-27.62	-1.3702	0.053494	0.0051809	0.067896	0.82417	-0.00015407	-0.25569	0.3779	-0.20085	-0.031734	-0.50604	0.21759	6
-22.011	1.373	0.12747	2.0325	-0.92843	-0.091311	0.47716	-0.81071	-0.10465	0.19828	-0.42443	-0.22695	0.29207	3
-27.647	-0.6206	0.35148	-0.30071	-0.75107	0.27942	0.39163	-0.090778	-0.034322	0.14127	0.21265	-0.48447	-0.088125	4
-22.015	2.6003	-0.59839	-1.6384	-1.4431	1.0865	-0.59985	-0.70602	-0.00117	0.23761	-0.020972	0.023597	0.061393	2
-28.709	1.4977	1.5238	0.17366	-0.60856	-0.59315	0.69608	0.49185	0.34154	-0.6081	0.23326	0.14322	0.10656	9
-21.787	1.1448	0.043251	1.4424	0.34685	0.060961	0.51785	0.33487	-0.0037328	0.39295	0.27875	-0.28955	-0.07146	6
-22.344	0.68351	0.81463	1.4707	0.83133	-0.68363	-0.045325	0.14573	0.14115	-0.20676	-0.04351	-0.16382	-0.14818	1
-21.464	2.8172	0.29016	-0.80818	-1.0617	0.712	-0.52917	-0.13219	-0.63248	0.34133	-0.36846	0.3529	-0.31068	2
-21.423	-1.4284	0.66052	-0.43329	0.94516	0.19502	-0.16318	-0.22236	-0.17304	-0.12623	-0.0081974	0.35892	0.15131	4
-25.584	0.36369	0.18978	-0.15305	0.096157	0.40582	-0.16426	-0.14435	-0.23153	0.3799	0.29869	-0.036874	-0.093251	4
-19.961	0.20376	0.037512	0.69588	0.22242	0.27494	-1.9801	-1.6725	-0.52729	0.53041	0.20245	-1.4396	0.98255	9
